rain_band,fclass,tod,n,mean_deviation,sd,ci_low,ci_high,pct_speed_loss,dry_reference,delta_vs_none_pct
none,secondary_link,pm_peak,1413,-0.059633051074282406,0.4104884644946916,-0.08103621465064387,-0.038229887497920945,-5.96,-0.059633051074282406,0.0
none,tertiary,am_peak,12321,-0.054849298359946,0.31694460488210874,-0.06044569489655102,-0.04925290182334098,-5.48,-0.054849298359946,0.0
none,tertiary,evening,12045,-0.033473297794447014,0.24563536821585402,-0.03785997413052961,-0.02908662145836442,-3.35,-0.033473297794447014,0.0
none,tertiary,midday,15206,-0.002740822772804854,0.18632311885464536,-0.005702292834473781,0.00022064728886407288,-0.27,-0.002740822772804854,0.0
none,tertiary,night,16800,-0.030436083952326973,0.3366011995570947,-0.03552598234658612,-0.025346185558067825,-3.04,-0.030436083952326973,0.0
none,tertiary,pm_peak,10599,-0.017628613228117117,0.26067102284256605,-0.02259120332366675,-0.012666023132567483,-1.76,-0.017628613228117117,0.0
none,trunk,am_peak,67957,-0.03029436169838255,0.2723521566413622,-0.03234204040342292,-0.028246682993342178,-3.03,-0.03029436169838255,0.0
none,trunk,evening,60183,-0.005028122647110194,0.17752438991659347,-0.006446426252674414,-0.003609819041545973,-0.5,-0.005028122647110194,0.0
none,trunk,midday,75331,-0.002382927203962122,0.21021770645568447,-0.003884099433139285,-0.0008817549747849587,-0.24,-0.002382927203962122,0.0
none,trunk,night,102325,-0.03708716552066216,0.27292806694502764,-0.038759431740648366,-0.03541489930067595,-3.71,-0.03708716552066216,0.0
none,trunk,pm_peak,56829,-0.057496229167891204,0.5542478715172696,-0.06205310422916065,-0.05293935410662176,-5.75,-0.057496229167891204,0.0
none,trunk_link,am_peak,2004,-0.009611108543108952,0.23528632476899003,-0.019912500735277984,0.0006902836490600816,-0.96,-0.009611108543108952,0.0
none,trunk_link,evening,2436,-0.01621722650736168,0.21736096106754593,-0.024848820381417808,-0.0075856326333055574,-1.62,-0.01621722650736168,0.0
none,trunk_link,midday,3588,-0.046491344989248964,0.34848072624096094,-0.05789385967911016,-0.035088830299387766,-4.65,-0.046491344989248964,0.0
none,trunk_link,night,2522,0.011535824488889648,0.25752320518724736,0.0014852260314122036,0.02158642294636709,1.15,0.011535824488889648,0.0
none,trunk_link,pm_peak,2507,-0.010019774762427939,0.32203129934739055,-0.02262553410760613,0.002585984582750254,-1.0,-0.010019774762427939,0.0
